Feature,mean,std
mean_duration_comprehension,0.1666129114,0.045731776856433905
gap_before_mean_comprehension,0.0523368358,0.008890847923458331
duration_production,0.028252801100000002,0.0037645687539745293
duration_comprehension,0.026936265650000003,0.019181364555018305
max_duration_comprehension,0.01509652447,0.005187169179990979
count_comprehension,0.015042211275,0.003998229413379059
min_duration_comprehension,0.0146883287,0.002075925249156908
median_duration_comprehension,0.01459884665,0.0053554286521150735
swta_f_22,0.012872776842105263,0.0009415132559446971
count_gap_p2c,0.01283484305,0.0024364314747420527
duration_pause_p,0.012643090675,0.00206488160645348
max_duration_production,0.011628976985000001,0.002497161391487257
swta_f_0,0.011596225289473685,0.0008828493404613157
min_duration_gap_p2c,0.011337404700000001,0.001772118349930569
std_duration_comprehension,0.010188367600000001,0.0009102474006547054
gap_before_mean_pause_c,0.009672579990000001,0.00179019249378118
max_duration_pause_p,0.009599262725,0.0012000338776650768
median_duration_gap_p2c,0.00956979278,0.002160747841093489
count_gap_c2p,0.009383546449999999,0.001851006931741164
max_duration_pause_c,0.00901347646,0.0014356205599787577
mean_duration_production,0.008727096755,0.0018243970245097178
median_duration_production,0.008521981139999999,0.001270469739900452
mean_duration_gap_p2c,0.00846024596,0.0015638085591258755
mean_duration_gap_c2p,0.00840551059,0.0019228610527130252
std_duration_pause_p,0.008377536195,0.0015346539833231048
gap_before_std_comprehension,0.008299541195,0.0015164026080898222
mean_duration_pause_c,0.00828942914,0.0017038485297752738
median_duration_pause_p,0.008248965149999999,0.0026086937768751792
swta_f_45,0.008143596542105263,0.0007231990341208365
swta_f_44,0.007803413621052632,0.0004480199231152121
duration_pause_c,0.0077402191149999995,0.001277224438095725
mean_duration_pause_p,0.00769019546,0.002270520383274299
median_duration_pause_c,0.0072278368600000005,0.0010537281960118214
swta_f_40,0.0070840070210526325,0.0011297990773566956
std_duration_pause_c,0.006987072185,0.0010569352322886655
max_duration_gap_p2c,0.006979394769999999,0.001286493493933864
median_duration_gap_c2p,0.006936212845,0.0033776571476394615
min_duration_pause_c,0.006825915405000001,0.0016383450879824389
std_duration_production,0.00681508856,0.0014640251132741052
swta_f_23,0.006313649984210526,0.0006703855653118477
gap_before_std_pause_p,0.0062419105099999995,0.0012575019739343917
swta_f_67,0.006228949610526315,0.00048328378702081195
swta_f_49,0.006220627857894736,0.0009433125294983221
swta_f_69,0.006197822794736842,0.0005323326475181341
gap_before_mean_production,0.00619088323,0.0010055284761275288
swta_f_1,0.006142914026315789,0.0007159907632609366
swta_f_66,0.006125470173684211,0.0008042423586660876
min_duration_pause_p,0.00611951239,0.0010571131493730017
swta_f_71,0.00608556592631579,0.0005047501244753454
gap_before_mean_pause_p,0.00576541392,0.0013662313259672155
swta_f_26,0.005641101347368421,0.0006312027055908773
min_duration_gap_c2p,0.005627452875,0.0009841998447582088
swta_f_19,0.005589991642105263,0.0007095764913280912
swta_f_29,0.005578478978947368,0.00047258821918264894
swta_f_10,0.005549929594736842,0.001926229509019276
swta_f_24,0.0055358822789473685,0.0005819354794388571
max_duration_gap_c2p,0.005530807279999999,0.0012308441370902541
duration_gap_p2c,0.005518302415000001,0.0012881826036324634
swta_f_32,0.0055079742631578945,0.0015320544635372888
duration_gap_c2p,0.00546352361,0.0008734429379581151
swta_f_42,0.005429645578947369,0.0005515635379459243
swta_f_9,0.005380344942105263,0.0006649440160820033
swta_f_52,0.005344603863157895,0.0005015452430148287
swta_f_47,0.005344451242105263,0.000527258322536566
swta_f_8,0.005341901910526315,0.0005253592596331771
swta_f_30,0.005306375542105263,0.0005070726405719264
swta_f_4,0.005295992526315789,0.0005490015643481537
swta_f_41,0.0052527124421052635,0.0006678909936014512
count_pause_p,0.00524427925,0.0010815664605398705
swta_f_36,0.005228516710526316,0.0008027621350561806
swta_f_58,0.005228391236842106,0.0007140846359556729
swta_f_64,0.005197115557894737,0.0005483664617932936
swta_f_15,0.005136265489473684,0.0009416513629340519
swta_f_63,0.0051247143,0.0004961172504055456
swta_f_59,0.005098346942105263,0.0006538942990420237
gap_before_mean_gap_c2p,0.00509551964,0.000928601854857765
swta_f_68,0.005035228410526316,0.0009280529592107798
swta_f_14,0.0050047287421052635,0.0006377142947940025
swta_f_2,0.0049891022000000005,0.0004067041343283469
std_duration_gap_p2c,0.00498779639,0.0013864897365074515
swta_f_20,0.004976307905263158,0.00032235528320639456
swta_f_51,0.004974742242105264,0.00044539205455230573
swta_f_5,0.004973964284210527,0.0005559032097395576
swta_f_60,0.0049691794894736845,0.001597229147650788
gap_before_std_pause_c,0.004950710275,0.001902820127875611
swta_f_6,0.004944318189473684,0.0004349642293077492
swta_f_70,0.0049393213157894736,0.0005606150619267252
swta_f_37,0.0049384427,0.00037669631075125414
swta_f_3,0.004906077463157895,0.0003730627935095723
min_duration_production,0.00490526255,0.001021873072726066
swta_f_28,0.004884196047368421,0.0007288087643217492
swta_f_46,0.004872203363157895,0.0007048933291159412
swta_f_43,0.004868141989473684,0.000326760368759937
swta_f_54,0.004836343152631578,0.0018990703064124773
swta_f_50,0.00482910142631579,0.0003771028489683858
swta_f_48,0.0048259281,0.0004533969114313834
gap_before_std_gap_c2p,0.004819350135,0.0026024896107296144
swta_f_16,0.004803526731578947,0.0025778071419767126
swta_f_12,0.004802179521052632,0.0008249845320796946
swta_f_53,0.004800874657894737,0.0005506588419342309
std_duration_gap_c2p,0.00479693774,0.0011284869556886957
count_production,0.00471529417,0.0010080336801291487
swta_f_31,0.004673721052631578,0.0007671127969021746
gap_before_mean_gap_p2c,0.00464103229,0.000911246128492428
gap_before_std_production,0.00453538482,0.0017573070972215857
swta_f_25,0.0045307883421052625,0.0004904173561145768
swta_f_7,0.004529783889473684,0.0009858576028009551
swta_f_38,0.004479632905263158,0.001314887241317157
swta_f_65,0.004465443542105263,0.0011001436088745114
count_pause_c,0.0044193874199999995,0.0013266857023271643
swta_f_35,0.004223006926315789,0.0011454123121636451
swta_f_57,0.004136450984210526,0.0003483041928360422
swta_f_56,0.003992792878947368,0.0006396175193027699
swta_f_21,0.003924912489473684,0.000992749746489694
swta_f_27,0.0038658863315789473,0.0006773170093509073
swta_f_62,0.0037679964,0.0017554508587746922
swta_f_13,0.00374361802631579,0.0009357889285789424
swta_f_34,0.0036595491947368423,0.000446092073495148
swta_f_18,0.0031302475210526317,0.002575241606645675
gap_before_std_gap_p2c,0.0008987280400000001,0.0018926867288549026
proportion_time_pause_p,0.0,0.0
rate_gap_p2c,0.0,0.0
rate_production,0.0,0.0
proportion_time_pause_c,0.0,0.0
proportion_time_gap_p2c,0.0,0.0
proportion_time_gap_c2p,0.0,0.0
rate_pause_p,0.0,0.0
rate_pause_c,0.0,0.0
rate_comprehension,0.0,0.0
proportion_time_comprehension,0.0,0.0
rate_gap_c2p,0.0,0.0
swta_f_17,0.0,0.0
swta_f_61,0.0,0.0
swta_f_33,0.0,0.0
proportion_time_production,0.0,0.0
swta_f_39,0.0,0.0
swta_f_55,0.0,0.0
swta_f_11,0.0,0.0
